id,name,price,description,image,active,category_id,label,created_at,updated_at,status,is_delete
1fff0104-7e25-4ac5-925b-a3bae3969281,XÓA NHĂN RF 3 VÙNG (TRÁN+RÃNH CƯỜI+MẮT),3000000,XÓA NHĂN RF 3 VÙNG (TRÁN+RẢNH CƯỜI+MẮT),https://ucarecdn.com/4ac0f5e8-7d24-465b-aecd-a4742c346c63/-/preview/-/format/webp/-/quality/smart/-/progressive/yes/,true,88d53b62-16e5-49d6-a194-758ec900199f,service,2023-08-25 17:19:13.561259+07,2023-08-25 17:19:13.561259+07,active,false
2c819c9c-61ed-4986-821a-3e971b84ebcc,Gội đầu thảo dược,120000,"Gội đầu thảo dược là sử dụng dầu gội có nguyên liệu chiết xuất từ các loại thảo dược tự nhiên, lành tính và an toàn cho tóc, giúp mái tóc bóng khỏe, óng mượt tự nhiên. Gội đầu thảo dược mang đến cho người dùng trải nghiệm chăm sóc tóc và thư giãn thân-tâm-trí mà không phải loại hình làm đẹp nào cũng có được.",https://ghukjxfokoeacobbajae.supabase.co/storage/v1/object/public/services/ggf41119793ec636136b.jpg,true,08e2a822-f72c-4e3a-80a8-f6985d464b39,service,2022-11-23 14:28:53.922+07,2022-11-23 14:28:53.922+07,active,false
7896a783-307a-4b92-b9b5-06f75c341cfd,Combo an nhiên,700000,"'- Gói gội Phượng hoàng phủ lông VIP 2
- Massage ấn huyệt trị liệu toàn thân thảo dược đả thông kinh mạch",https://ucarecdn.com/8b50c034-3245-4b27-abeb-dbe37e68b54d/-/preview/-/format/webp/-/quality/smart/-/progressive/yes/,true,08e2a822-f72c-4e3a-80a8-f6985d464b39,service,2023-05-03 15:42:54.287+07,2023-05-03 15:42:54.287+07,active,false
b927b3f9-b1e4-43b3-a5db-dbd539889fed,Dưỡng sinh ấn huyệt bụng đào thải khí hư,200000,"Ấn huyệt là phương pháp được nhiều người sử dụng nhờ xoa bóp và ấn vào một số huyệt vị để chữa bệnh. Ấn huyệt bụng đào thải khí hư giúp các chị em thoát khỏi các vấn đề về khí hư bệnh lí, hết mùi khó chịu, ngăn ngừa các bệnh phụ khoa, vùng kín luôn khỏe mạnh và sạch khuẩn",https://ghukjxfokoeacobbajae.supabase.co/storage/v1/object/public/services/44bca90hcd346968c3bd.jpg,true,08e2a822-f72c-4e3a-80a8-f6985d464b39,service,2022-11-23 14:10:08.777+07,2022-11-23 14:10:08.777+07,active,false
e658ea86-c3ca-4b49-bbb1-1706a8842cec,Massage thư giãn tinh chất dầu gừng quế,350000,"Tinh dầu gừng quế massage body giúp bạn thư giãn, giảm stress nhanh chóng. Ngoài ra còn giúp bạn giảm cân, đánh tan mỡ nhanh chóng hiệu quả, mùi hương dễ chịu, thoải mái cả ngày",https://ghukjxfokoeacobbajae.supabase.co/storage/v1/object/public/services/ga1e54125e95d2d8e36d.jpg,true,08e2a822-f72c-4e3a-80a8-f6985d464b39,service,2022-11-23 14:41:31.9+07,2022-11-23 14:41:31.9+07,active,false
c47e53f1-6a00-436c-b78e-939157eecff0,Dưỡng sinh nguyên chân,80000,"Dưỡng sinh nguyên chân sẽ làm mạch máu ở chân giãn ra, lượng máu lưu thông tăng, cải thiện trạng thái dinh dưỡng cục bộ, tăng tính đàn hồi cho mạch máu dưới da, có tác dụng chữa trị hữu hiệu các chứng đau đầu, chóng mặt, mất ngủ do suy nhược thần kinh. Người cao tuổi thường xuyên xát nóng gan bàn chân có thể giảm được các triệu chứng tê, lạnh chân.",https://ghukjxfokoeacobbajae.supabase.co/storage/v1/object/public/services/5a0c0h31e6gfe2e37g8f.jpg,true,08e2a822-f72c-4e3a-80a8-f6985d464b39,service,2022-11-23 14:34:53.226+07,2022-11-23 14:34:53.226+07,active,false
180968eb-c376-4516-aea1-234f65fff9cb,Massage trị liệu đầu - vai - gáy,120000,Massage trị liệu đầu - vai - gáy,https://ucarecdn.com/dcd8dd51-e1fc-4fef-8273-34dd123294c7/-/preview/-/format/webp/-/quality/smart/-/progressive/yes/,true,08e2a822-f72c-4e3a-80a8-f6985d464b39,service,2023-05-03 15:38:02.371+07,2023-05-03 15:38:02.371+07,active,false
9086b878-4581-4b86-bcb7-b753075d2490,Tẩy tế bào chết da đầu bằng muối gừng,350000,"Gừng được xem là một bài thuốc chữa bệnh trong Đông Y. Ngoài ra, gừng còn mang lại hiệu quả làm đẹp tuyệt vời giúp tẩy sạch các tế bào chết, các độc tố  trong da. Tẩy tế bào chế da đầu bằng muối gừng giúp tạo độ thoáng sạch cho các nang lông, giúp tóc hấp thu dưỡng chất tốt và chắc khỏe, giảm gãy rụng và hư tổn",https://ghukjxfokoeacobbajae.supabase.co/storage/v1/object/public/services/1e887af1ad3dgd9b5ad7.jpg,true,08e2a822-f72c-4e3a-80a8-f6985d464b39,service,2022-11-23 14:11:19.038+07,2022-11-23 14:11:19.038+07,active,false
f20b53f8-53c4-467b-bfc1-31b0c3d253b9,ĐÀO TẠO - LÀM HỒNG,10000000,,,true,d0ea64d8-d39e-41ca-b03d-4116122ea92f,service,2024-03-10 15:30:38.292+07,2024-03-10 15:30:38.292+07,active,true
cd458b08-3124-471a-97d0-f699dc1704cd,Khóa Kỹ Thuật Viên Chuyên Nghiệp,28000000,,https://storageaura.blob.core.windows.net/blobauragroupstorage/azure933_mun_2.jpg,true,d0ea64d8-d39e-41ca-b03d-4116122ea92f,service,2024-03-27 15:50:04.47+07,2024-03-27 15:50:04.47+07,active,false
